Exp,Ops,LocalMem(MB),LocalMem(%),Time(s),Faults,FaultsZP,FaultsNoZP,FaultsR,FaultsW,FaultsWP,Evicts,Suppressed,Mallocd,Freed,MaxRSS,VMRSS,Desc
run-01-24-19-09-41,10000000,630,100,261,153144,153144,0,8606,144538,0,0,,840,64,625414144,1903,fulltrace
run-01-24-19-14-05,10000000,598.5,95,267,153339,153339,0,8605,144734,0,0,,840,64,625405952,1903,fulltrace
run-01-24-19-18-37,10000000,567,90,304,711292,153095,558197,379903,331389,186282,379520,,840,64,594546688,2497,fulltrace
run-01-24-19-23-48,10000000,480.25,85,418,6001440,153388,5848052,4065300,1936140,1783507,4094528,,840,64,503320576,2406,fulltrace
run-01-24-19-23-54,10000000,504,80,373,4382481,153157,4229324,2955628,1426853,1277285,2975808,,840,64,528486400,2431,fulltrace
run-01-24-19-30-23,10000000,472.5,75,390,6499227,153160,6346067,4402599,2096628,1944087,4433984,,840,64,494931968,2398,fulltrace
run-01-24-19-37-14,10000000,441,70,434,8676915,153186,8523729,5879734,2797181,2640779,5923008,,840,64,462426112,2365,fulltrace
run-01-24-19-44-54,10000000,409.5,65,513,11036706,153450,10883256,7472004,3564702,3403580,7527936,,840,64,428871680,2332,fulltrace
run-01-24-19-53-59,10000000,378,60,567,13454680,153398,13301282,9098043,4356637,4191200,9166400,,840,64,396365824,2299,fulltrace
run-01-24-20-04-06,10000000,346.5,55,630,16107957,153513,15954444,10871262,5236695,5064960,10954048,,840,64,362811392,2266,fulltrace
run-01-24-20-15-24,10000000,315,50,677,18885435,153256,18732179,12723569,6161866,5983193,12821696,1,840,64,330305536,2233,fulltrace
run-01-24-20-27-36,10000000,283.5,45,776,22013904,153265,21860639,14801284,7212620,7023979,14917696,,840,64,296751104,2200,fulltrace
run-01-24-20-41-36,10000000,252,40,855,25394626,153308,25241318,17037232,8357394,8154941,17175296,,840,64,264245248,2167,fulltrace
run-01-24-20-56-58,10000000,220.5,35,929,29404704,153572,29251132,19690339,9714365,9491885,19857728,,840,64,230690816,2133,fulltrace
run-01-24-21-13-51,10000000,189,30,1065,33995120,153605,33841515,22728263,11266857,11017553,22930496,1,840,64,198184960,2101,fulltrace
run-01-24-21-33-11,10000000,157.5,25,1206,39871676,153541,39718135,26647887,13223789,12933170,26900224,3,840,64,164630528,2067,fulltrace
run-01-24-21-55-06,10000000,126,20,1362,47347306,153633,47193673,31682079,15665227,15304219,32012352,5,840,64,132124672,2035,fulltrace
run-01-24-22-19-58,10000000,94.5,15,1587,58042148,153631,57888517,38981639,19060509,18572633,39448640,6,840,64,98570240,2002,fulltrace
run-01-24-22-49-09,10000000,63,10,1970,73636955,153695,73483260,49678535,23958420,23174841,50451840,17,840,64,66064384,1969,fulltrace
run-01-24-23-25-13,10000000,31.5,5,2614,100207336,153425,100053911,67775714,32431622,30672095,69538304,43,840,64,32509952,1936,fulltrace
