xcol,0x5555555b219b,0x55555559712a,0x55555559891f,0x55555558fb03,0x5555555b6234,0x5555555b4fc5,0x5555555b4fbe,0x55555558facf,0x5555555898d4,0x7ffff4b54ebe
100,,,,,,,,,,
95,,,,,,,,,,
90,0.0,1.0,2.0,3.0,4.0,,,,,
85,0.0,1.0,2.0,3.0,4.0,,,,,
80,0.0,1.0,2.0,3.0,4.0,,,,,
75,0.0,1.0,2.0,3.0,4.0,,,,,
70,0.0,1.0,2.0,3.0,4.0,,,,,
65,0.0,1.0,2.0,3.0,4.0,5.0,,,,
60,0.0,1.0,2.0,3.0,4.0,5.0,,,,
55,0.0,1.0,2.0,3.0,4.0,5.0,,,,
50,0.0,1.0,2.0,3.0,4.0,5.0,,,,
45,0.0,1.0,2.0,3.0,4.0,5.0,,,,
40,0.0,1.0,2.0,3.0,4.0,5.0,,,,
35,0.0,1.0,2.0,3.0,4.0,5.0,,,,
30,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,
25,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,
20,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,
15,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,
10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,
5,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
