Exp,LMem(%),Faults,FLOC,FLOC95,FAddrs
run-01-24-19-46-10,100,0,0,0,0
run-01-24-19-57-52,95,0,0,0,0
run-01-24-20-09-13,90,227302,193,11,114728
run-01-24-20-20-58,85,568386,246,11,226368
run-01-24-20-32-15,80,731057,265,11,254184
run-01-24-20-42-46,75,1077952,351,9,284779
run-01-24-20-52-34,70,1420413,387,8,299551
run-01-24-21-02-26,65,1562669,392,10,301479
run-01-24-21-12-40,60,2439900,430,10,313015
run-01-24-21-22-26,55,2513994,410,8,298312
run-01-24-21-32-50,50,4245314,431,7,307690
run-01-24-21-43-09,45,6298042,489,7,315529
run-01-24-21-54-14,40,8248064,491,7,314072
run-01-24-22-05-36,35,10003576,514,8,312776
run-01-24-22-17-31,30,12685436,539,9,317199
run-01-24-22-30-41,25,15196476,565,10,317365
run-01-24-22-43-41,20,17851760,575,10,317375
run-01-24-22-57-18,15,20600112,595,10,315604
run-01-24-23-12-20,10,27250149,636,11,317164
run-01-24-23-29-38,5,41812578,686,13,316540
