Exp,LMem(%),Faults,FLOC,FLOC95,FAddrs
run-01-24-19-09-41,100,0,0,0,0
run-01-24-19-14-05,95,0,0,0,0
run-01-24-19-18-37,90,558197,147,6,147334
run-01-24-19-23-48,85,5848052,230,7,147615
run-01-24-19-23-54,80,4229324,203,7,147402
run-01-24-19-30-23,75,6346067,207,7,147422
run-01-24-19-37-14,70,8523729,234,7,147493
run-01-24-19-44-54,65,10883256,264,7,147597
run-01-24-19-53-59,60,13301282,255,7,147651
run-01-24-20-04-06,55,15954444,261,7,147672
run-01-24-20-15-24,50,18732179,277,7,147745
run-01-24-20-27-36,45,21860639,292,8,147806
run-01-24-20-41-36,40,25241318,302,8,147961
run-01-24-20-56-58,35,29251132,309,8,148079
run-01-24-21-13-51,30,33841515,326,8,148225
run-01-24-21-33-11,25,39718135,335,9,148469
run-01-24-21-55-06,20,47193673,356,9,148721
run-01-24-22-19-58,15,57888517,360,10,148905
run-01-24-22-49-09,10,73483260,394,10,149365
run-01-24-23-25-13,5,100053911,453,11,149766
