Exp,LMem(%),Faults,FLOC,FLOC95,FAddrs
run-01-22-09-33-08,100,0,0,0,0
run-01-22-09-41-18,95,664,176,176,512
run-01-22-09-49-36,90,8190,316,89,4291
run-01-22-09-56-26,85,30306,469,58,9474
run-01-22-10-03-27,80,182780,545,19,22306
run-01-22-10-10-42,75,629279,622,10,28756
run-01-22-10-18-01,70,1323364,657,9,28932
run-01-22-10-26-12,65,2502186,699,9,29051
run-01-22-10-34-47,60,4150495,794,10,31084
run-01-22-10-46-48,55,5421882,765,9,29201
run-01-22-10-57-22,50,7908409,772,9,31321
run-01-22-11-08-50,45,10349565,772,8,29227
run-01-22-11-22-03,40,13080198,813,8,31210
run-01-22-11-35-55,35,17455090,837,8,31426
run-01-22-11-51-07,30,21768076,854,8,31035
run-01-22-12-09-03,25,29578083,928,9,31285
run-01-22-12-28-51,20,39074093,965,10,31196
run-01-22-12-52-42,15,50213164,1016,13,31594
run-01-22-13-20-22,10,75577828,1204,19,29816
run-01-22-13-58-00,5,114501084,1319,32,29908
