ips                                                                                                                                                           kind       count  percent  code
0x404ca2|0x7ffff7c3a090|0x40301d|0x40362f|0x4038c7|0x7ffff7c1b083|0x402c2e|                                                                                   write      42683  15        | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:417 (discriminator 3) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:316 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x403338|0x40358f|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                                                                          write      19658  7         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:217 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:289 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x402eb0|0x40330e|0x40358f|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                                                                 write      18738  6         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:145 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:233 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:289 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x402ea6|0x40330e|0x40358f|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                                                                 read       18498  6         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:145 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:233 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:289 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x402f1c|0x4037bb|0x4038c7|0x7ffff7c1b083|0x402c2e|                                                                                   read       18200  6         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:390 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:351 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x4032a5|0x40358f|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                                                                          read       17612  6         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:196 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:289 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40394b|0x403996|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                                               read       8947   3         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:42 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40391f|0x403996|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                                               wrprotect  8416   3         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:48 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40392e|0x403996|0x4039a8|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                                      read       6831   2         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:30 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:71 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
0x404ca2|0x7ffff7c3a090|0x40392e|0x403996|0x4039e5|0x402d20|0x403481|0x403786|0x4038c7|0x7ffff7c1b083|0x402c2e|                                               read       6825   2         | ??:? | ??:0 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:30 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:69 | /home/ayelam/rmem-scheduler/apps/psrs/qsort_custom.c:79 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:90 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:254 (discriminator 1) | /home/ayelam/rmem-scheduler/apps/psrs/main.c:345 | /home/ayelam/rmem-scheduler/apps/psrs/main.c:384 | ??:0 | ??:?
