LMem%,Xput,XputErr,Faults,FaultsErr,NetReads,NetReadsErr,KFaults,KFaultsErr,HitR,Count,System,Backend,EvP,EvB,CPU,Zipfs,XputNorm,XputErrNorm
100,390611,0,5,0,1,,0,,0,1,eden,,NONE,32,10,,1.07819,
91,384219,0,4919,0,4917,,0,,0,1,eden,,NONE,32,10,,1.06055,
83,384724,0,5541,0,5539,,0,,0,1,eden,,NONE,32,10,,1.06194,
75,370361,0,57155,0,56873,,3,,0,1,eden,,NONE,32,10,,1.02229,
66,351165,0,144709,0,144112,,7,,0,1,eden,,NONE,32,10,,0.969309,
58,335184,0,216832,0,215879,,13,,0,1,eden,,NONE,32,10,,0.925197,
50,318010,0,329355,0,328450,,23,,0,1,eden,,NONE,32,10,,0.877792,
41,278126,0,510935,0,509948,,35,,0,1,eden,,NONE,32,10,,0.767702,
33,233433,0,734391,0,733272,,46,,0,1,eden,,NONE,32,10,,0.644337,
22,136979,0,1057852,0,1056507,,49,,0,1,eden,,NONE,32,10,,0.378098,
16,95608,0,1162835,0,1161270,,49,,0,1,eden,,NONE,32,10,,0.263903,
8,56220,0,1232238,0,1230073,,54,,0,1,eden,,NONE,32,10,,0.155182,
4,42216,0,1277258,0,1274315,,73,,0,1,eden,,NONE,32,10,,0.116527,
