Distribution,Target,Actual,Dropped,Never Sent,Median,90th,99th,99.9th,99.99th,Start
zero,99285, 98917, 0, 368, 14.3, 16.1, 26.1, 30.0, 217.8, 1626860146
zero,200755, 199486, 0, 1269, 14.2, 16.7, 27.0, 32.0, 246.3, 1626860176
zero,301652, 299625, 0, 2027, 14.2, 18.0, 28.9, 34.4, 253.1, 1626860208
zero,403155, 399717, 0, 3438, 14.6, 19.9, 30.7, 36.6, 250.7, 1626860242
zero,504609, 499436, 0, 5173, 15.3, 22.1, 32.3, 38.8, 270.7, 1626860281
zero,605299, 599497, 0, 5802, 15.8, 24.0, 33.8, 40.4, 184.0, 1626860323
zero,707276, 699058, 0, 8218, 15.9, 25.2, 35.0, 42.5, 230.1, 1626860370
zero,808427, 798546, 0, 9881, 15.8, 25.7, 36.0, 43.6, 132.3, 1626860421
zero,911378, 898803, 0, 12575, 15.8, 25.4, 36.9, 45.1, 190.3, 1626860476
zero,1014285, 998515, 0, 15770, 15.9, 24.5, 37.1, 45.6, 133.6, 1626860535
zero,1117455, 1098005, 0, 19450, 16.1, 23.8, 37.2, 46.6, 153.5, 1626864158
zero,1221534, 1196882, 0, 24652, 16.2, 23.4, 37.0, 47.7, 241.4, 1626864196
zero,1331224, 1296610, 0, 34614, 16.4, 23.1, 36.2, 47.6, 183.2, 1626864268
zero,1438859, 1394349, 0, 44510, 16.5, 22.8, 35.4, 47.3, 63.5, 1626864309
zero,1556782, 1493225, 0, 63557, 16.8, 22.8, 34.6, 47.5, 107.9, 1626864390
zero,1678314, 1589789, 0, 88525, 17.0, 22.8, 34.0, 47.5, 125.1, 1626864474
zero,1817563, 1685306, 0, 132257, 17.2, 22.8, 33.5, 47.6, 191.5, 1626864564
zero,1969699, 1779425, 0, 190274, 17.5, 22.9, 33.0, 47.2, 87.7, 1626864612
zero,2147965, 1869547, 0, 278418, 17.7, 23.0, 32.5, 46.9, 105.6, 1626864711
zero,2355899, 1956211, 0, 399688, 18.0, 23.2, 32.3, 46.8, 74.5, 1626864814
zero,2598565, 2036979, 0, 561586, 18.2, 23.2, 31.9, 46.7, 101.7, 1626868728
zero,2914248, 2111185, 0, 803063, 18.5, 23.4, 31.9, 47.2, 84.7, 1626868841
zero,3283602, 2177075, 0, 1106527, 18.8, 23.8, 32.0, 48.5, 163.4, 1626868959
zero,3722182, 2235922, 0, 1486260, 19.1, 23.9, 31.1, 42.5, 77.9, 1626869079
zero,4260338, 2279101, 0, 1981237, 19.5, 24.5, 32.6, 49.4, 85.5, 1626869204
zero,4934349, 2307887, 0, 2626462, 19.9, 25.2, 33.6, 52.6, 95.2, 1626869334
zero,5619841, 2335394, 0, 3284447, 20.3, 25.6, 34.5, 55.2, 105.4, 1626869467
zero,6443897, 2344617, 0, 4099280, 20.6, 26.1, 35.6, 57.9, 93.6, 1626869606
zero,7333797, 2346440, 0, 4987357, 20.8, 26.6, 37.2, 62.1, 109.8, 1626869747
zero,8223477, 2346279, 0, 5877198, 21.2, 27.3, 39.0, 64.7, 99.7, 1626869893
zero,9176678, 2340192, 0, 6836486, 21.3, 27.4, 39.1, 66.1, 242.1, 1626874134
zero,10164313, 2329406, 0, 7834907, 21.7, 28.7, 44.1, 72.3, 176.6, 1626874290
zero,11302656, 2299804, 0, 9002852, 22.1, 30.0, 48.6, 77.9, 177.2, 1626874449
zero,12370958, 2279099, 0, 10091859, 22.5, 31.5, 52.9, 82.4, 180.2, 1626874609
zero,13469412, 2254713, 0, 11214699, 23.0, 33.4, 57.5, 86.4, 191.4, 1626874774
zero,14592225, 2224836, 0, 12367389, 23.8, 37.2, 65.5, 93.8, 479.8, 1626874848
