name,percent,loc,floc,local,app,lmemp,input
community_10,100.0,-1,73,False,community,10,native
community_100,95.0,-1,2,False,community,100,native
community_20,95.0,-1,5,False,community,20,native
community_30,95.0,-1,5,False,community,30,native
community_40,95.0,-1,5,False,community,40,native
community_50,95.0,-1,5,False,community,50,native
community_60,95.0,-1,5,False,community,60,native
community_70,95.0,-1,4,False,community,70,native
community_80,95.0,-1,4,False,community,80,native
community_90,95.0,-1,2,False,community,90,native
