name,percent,loc,floc,local,app,lmemp,input
connected-components_10,100.0,-1,63,False,connected-components,10,native
connected-components_100,100.0,-1,23,False,connected-components,100,native
connected-components_20,100.0,-1,60,False,connected-components,20,native
connected-components_30,100.0,-1,57,False,connected-components,30,native
connected-components_40,100.0,-1,58,False,connected-components,40,native
connected-components_50,100.0,-1,59,False,connected-components,50,native
connected-components_60,100.0,-1,56,False,connected-components,60,native
connected-components_70,100.0,-1,56,False,connected-components,70,native
connected-components_80,100.0,-1,48,False,connected-components,80,native
connected-components_90,100.0,-1,47,False,connected-components,90,native
