name,percent,loc,floc,local,app,lmemp,input
apsp_10,100.0,-1,29,False,apsp,10,native
apsp_100,100.0,-1,0,False,apsp,100,native
apsp_15,100.0,-1,30,False,apsp,15,native
apsp_20,100.0,-1,34,False,apsp,20,native
apsp_25,100.0,-1,33,False,apsp,25,native
apsp_30,100.0,-1,30,False,apsp,30,native
apsp_35,100.0,-1,23,False,apsp,35,native
apsp_40,100.0,-1,27,False,apsp,40,native
apsp_45,100.0,-1,27,False,apsp,45,native
apsp_5,100.0,-1,33,False,apsp,5,native
apsp_50,100.0,-1,30,False,apsp,50,native
apsp_55,100.0,-1,24,False,apsp,55,native
apsp_60,100.0,-1,24,False,apsp,60,native
apsp_65,100.0,-1,24,False,apsp,65,native
apsp_70,100.0,-1,21,False,apsp,70,native
apsp_75,100.0,-1,22,False,apsp,75,native
apsp_80,100.0,-1,21,False,apsp,80,native
apsp_85,100.0,-1,19,False,apsp,85,native
apsp_90,100.0,-1,17,False,apsp,90,native
apsp_95,100.0,-1,19,False,apsp,95,native
