name,percent,loc,floc,local,app,lmemp,input
bfs_10,100.0,-1,72,False,bfs,10,native
bfs_100,100.0,-1,0,False,bfs,100,native
bfs_15,100.0,-1,59,False,bfs,15,native
bfs_20,100.0,-1,56,False,bfs,20,native
bfs_25,100.0,-1,55,False,bfs,25,native
bfs_30,100.0,-1,54,False,bfs,30,native
bfs_35,100.0,-1,53,False,bfs,35,native
bfs_40,100.0,-1,51,False,bfs,40,native
bfs_45,100.0,-1,40,False,bfs,45,native
bfs_5,100.0,-1,67,False,bfs,5,native
bfs_50,100.0,-1,32,False,bfs,50,native
bfs_55,100.0,-1,32,False,bfs,55,native
bfs_60,100.0,-1,32,False,bfs,60,native
bfs_65,100.0,-1,32,False,bfs,65,native
bfs_70,100.0,-1,32,False,bfs,70,native
bfs_75,100.0,-1,33,False,bfs,75,native
bfs_80,100.0,-1,27,False,bfs,80,native
bfs_85,100.0,-1,27,False,bfs,85,native
bfs_90,100.0,-1,16,False,bfs,90,native
bfs_95,100.0,-1,11,False,bfs,95,native
