name,percent,loc,floc,local,app,lmemp,input
pagerank_10,95.0,-1,10,False,pagerank,10,native
pagerank_100,95.0,-1,0,False,pagerank,100,native
pagerank_15,95.0,-1,10,False,pagerank,15,native
pagerank_20,95.0,-1,10,False,pagerank,20,native
pagerank_25,95.0,-1,11,False,pagerank,25,native
pagerank_30,95.0,-1,10,False,pagerank,30,native
pagerank_35,95.0,-1,10,False,pagerank,35,native
pagerank_40,95.0,-1,11,False,pagerank,40,native
pagerank_45,95.0,-1,10,False,pagerank,45,native
pagerank_5,95.0,-1,10,False,pagerank,5,native
pagerank_50,95.0,-1,10,False,pagerank,50,native
pagerank_55,95.0,-1,11,False,pagerank,55,native
pagerank_60,95.0,-1,10,False,pagerank,60,native
pagerank_65,95.0,-1,11,False,pagerank,65,native
pagerank_70,95.0,-1,11,False,pagerank,70,native
pagerank_75,95.0,-1,10,False,pagerank,75,native
pagerank_80,95.0,-1,9,False,pagerank,80,native
pagerank_85,95.0,-1,9,False,pagerank,85,native
pagerank_90,95.0,-1,9,False,pagerank,90,native
pagerank_95,95.0,-1,2,False,pagerank,95,native
