name,percent,loc,floc,local,app,lmemp,input
sssp_10,100.0,-1,48,False,sssp,10,native
sssp_100,100.0,-1,0,False,sssp,100,native
sssp_15,100.0,-1,47,False,sssp,15,native
sssp_20,100.0,-1,46,False,sssp,20,native
sssp_25,100.0,-1,47,False,sssp,25,native
sssp_30,100.0,-1,48,False,sssp,30,native
sssp_35,100.0,-1,47,False,sssp,35,native
sssp_40,100.0,-1,47,False,sssp,40,native
sssp_45,100.0,-1,50,False,sssp,45,native
sssp_5,100.0,-1,55,False,sssp,5,native
sssp_50,100.0,-1,47,False,sssp,50,native
sssp_55,100.0,-1,47,False,sssp,55,native
sssp_60,100.0,-1,47,False,sssp,60,native
sssp_65,100.0,-1,47,False,sssp,65,native
sssp_70,100.0,-1,47,False,sssp,70,native
sssp_75,100.0,-1,47,False,sssp,75,native
sssp_80,100.0,-1,38,False,sssp,80,native
sssp_85,100.0,-1,28,False,sssp,85,native
sssp_90,100.0,-1,28,False,sssp,90,native
sssp_95,100.0,-1,17,False,sssp,95,native
