name,percent,loc,floc,local,app,lmemp,input
ferret_95,95.0,-1,23,False,,ferret,5,native
ferret_95,95.0,-1,10,False,,ferret,10,native
ferret_95,95.0,-1,4,False,,ferret,15,native
ferret_95,95.0,-1,4,False,,ferret,20,native
ferret_95,95.0,-1,3,False,,ferret,25,native
ferret_95,95.0,-1,4,False,,ferret,30,native
ferret_95,95.0,-1,5,False,,ferret,35,native
ferret_95,95.0,-1,7,False,,ferret,40,native
ferret_95,95.0,-1,13,False,,ferret,45,native
ferret_95,95.0,-1,21,False,,ferret,50,native
ferret_95,95.0,-1,25,False,,ferret,55,native
ferret_95,95.0,-1,32,False,,ferret,60,native
ferret_95,95.0,-1,44,False,,ferret,65,native
ferret_95,95.0,-1,36,False,,ferret,70,native
ferret_95,95.0,-1,34,False,,ferret,75,native
ferret_95,95.0,-1,30,False,,ferret,80,native
ferret_95,95.0,-1,29,False,,ferret,85,native
ferret_95,95.0,-1,27,False,,ferret,90,native
ferret_95,95.0,-1,24,False,,ferret,95,native
ferret_95,95.0,-1,12,False,,ferret,100,native
