name,percent,loc,floc,local,app,lmemp,input
vips_100,100.0,-1,592,False,,vips,5,native
vips_100,100.0,-1,84,False,,vips,10,native
vips_100,100.0,-1,375,False,,vips,15,native
vips_100,100.0,-1,360,False,,vips,20,native
vips_100,100.0,-1,166,False,,vips,25,native
vips_100,100.0,-1,76,False,,vips,30,native
vips_100,100.0,-1,76,False,,vips,35,native
vips_100,100.0,-1,72,False,,vips,40,native
vips_100,100.0,-1,79,False,,vips,45,native
vips_100,100.0,-1,73,False,,vips,50,native
vips_100,100.0,-1,74,False,,vips,55,native
vips_100,100.0,-1,77,False,,vips,60,native
vips_100,100.0,-1,81,False,,vips,65,native
vips_100,100.0,-1,81,False,,vips,70,native
vips_100,100.0,-1,81,False,,vips,75,native
vips_100,100.0,-1,80,False,,vips,85,native
vips_100,100.0,-1,75,False,,vips,90,native
vips_100,100.0,-1,69,False,,vips,95,native
vips_100,100.0,-1,71,False,,vips,100,native
