name,percent,loc,floc,local,app,lmemp,input
blackscholes_100,100.0,-1,60,False,,blackscholes,100,native
blackscholes_100,100.0,-1,60,False,,blackscholes,95,native
blackscholes_100,100.0,-1,61,False,,blackscholes,90,native
blackscholes_100,100.0,-1,61,False,,blackscholes,85,native
blackscholes_100,100.0,-1,61,False,,blackscholes,80,native
blackscholes_100,100.0,-1,61,False,,blackscholes,75,native
blackscholes_100,100.0,-1,60,False,,blackscholes,70,native
blackscholes_100,100.0,-1,61,False,,blackscholes,65,native
blackscholes_100,100.0,-1,77,False,,blackscholes,55,native
blackscholes_100,100.0,-1,79,False,,blackscholes,50,native
blackscholes_100,100.0,-1,79,False,,blackscholes,45,native
blackscholes_100,100.0,-1,79,False,,blackscholes,40,native
blackscholes_100,100.0,-1,78,False,,blackscholes,35,native
blackscholes_100,100.0,-1,80,False,,blackscholes,30,native
blackscholes_100,100.0,-1,81,False,,blackscholes,25,native
blackscholes_100,100.0,-1,81,False,,blackscholes,20,native
blackscholes_100,100.0,-1,80,False,,blackscholes,15,native
blackscholes_100,100.0,-1,80,False,,blackscholes,10,native
blackscholes_100,100.0,-1,84,False,,blackscholes,5,native
