name,percent,loc,floc,local,app,lmemp,input
canneal_95,95.0,-1,25,False,,canneal,100,native
canneal_95,95.0,-1,25,False,,canneal,95,native
canneal_95,95.0,-1,23,False,,canneal,90,native
canneal_95,95.0,-1,22,False,,canneal,85,native
canneal_95,95.0,-1,21,False,,canneal,80,native
canneal_95,95.0,-1,18,False,,canneal,75,native
canneal_95,95.0,-1,17,False,,canneal,70,native
canneal_95,95.0,-1,16,False,,canneal,65,native
canneal_95,95.0,-1,16,False,,canneal,60,native
canneal_95,95.0,-1,16,False,,canneal,55,native
canneal_95,95.0,-1,16,False,,canneal,50,native
canneal_95,95.0,-1,16,False,,canneal,45,native
canneal_95,95.0,-1,16,False,,canneal,40,native
canneal_95,95.0,-1,17,False,,canneal,35,native
canneal_95,95.0,-1,17,False,,canneal,30,native
canneal_95,95.0,-1,17,False,,canneal,25,native
canneal_95,95.0,-1,18,False,,canneal,20,native
canneal_95,95.0,-1,19,False,,canneal,15,native
canneal_95,95.0,-1,19,False,,canneal,10,native
