name,percent,loc,floc,local,app,lmemp,input
dedup_95,95.0,-1,10,False,,dedup,100,native
dedup_95,95.0,-1,11,False,,dedup,95,native
dedup_95,95.0,-1,11,False,,dedup,90,native
dedup_95,95.0,-1,10,False,,dedup,85,native
dedup_95,95.0,-1,10,False,,dedup,80,native
dedup_95,95.0,-1,11,False,,dedup,75,native
dedup_95,95.0,-1,10,False,,dedup,70,native
dedup_95,95.0,-1,19,False,,dedup,65,native
dedup_95,95.0,-1,17,False,,dedup,60,native
dedup_95,95.0,-1,19,False,,dedup,55,native
dedup_95,95.0,-1,22,False,,dedup,50,native
dedup_95,95.0,-1,22,False,,dedup,45,native
dedup_95,95.0,-1,38,False,,dedup,40,native
dedup_95,95.0,-1,45,False,,dedup,30,native
dedup_95,95.0,-1,26,False,,dedup,25,native
dedup_95,95.0,-1,43,False,,dedup,20,native
dedup_95,95.0,-1,25,False,,dedup,15,native
dedup_95,95.0,-1,47,False,,dedup,5,native
