name,percent,loc,floc,local,app,lmemp,input
facesim_100,100.0,-1,223,False,,facesim,100,native
facesim_100,100.0,-1,231,False,,facesim,95,native
facesim_100,100.0,-1,227,False,,facesim,90,native
facesim_100,100.0,-1,238,False,,facesim,85,native
facesim_100,100.0,-1,248,False,,facesim,80,native
facesim_100,100.0,-1,246,False,,facesim,75,native
facesim_100,100.0,-1,278,False,,facesim,70,native
facesim_100,100.0,-1,353,False,,facesim,65,native
facesim_100,100.0,-1,381,False,,facesim,60,native
facesim_100,100.0,-1,465,False,,facesim,55,native
facesim_100,100.0,-1,523,False,,facesim,50,native
facesim_100,100.0,-1,552,False,,facesim,45,native
facesim_100,100.0,-1,553,False,,facesim,40,native
facesim_100,100.0,-1,583,False,,facesim,35,native
facesim_100,100.0,-1,626,False,,facesim,30,native
facesim_100,100.0,-1,608,False,,facesim,25,native
facesim_100,100.0,-1,658,False,,facesim,20,native
facesim_100,100.0,-1,696,False,,facesim,15,native
facesim_100,100.0,-1,797,False,,facesim,10,native
facesim_100,100.0,-1,935,False,,facesim,5,native
