name,percent,loc,floc,local,app,lmemp,input
fluidanimate_100,100.0,-1,68,False,,fluidanimate,100,native
fluidanimate_100,100.0,-1,71,False,,fluidanimate,95,native
fluidanimate_100,100.0,-1,89,False,,fluidanimate,90,native
fluidanimate_100,100.0,-1,91,False,,fluidanimate,85,native
fluidanimate_100,100.0,-1,144,False,,fluidanimate,80,native
fluidanimate_100,100.0,-1,173,False,,fluidanimate,75,native
fluidanimate_100,100.0,-1,184,False,,fluidanimate,70,native
fluidanimate_100,100.0,-1,183,False,,fluidanimate,65,native
fluidanimate_100,100.0,-1,211,False,,fluidanimate,60,native
fluidanimate_100,100.0,-1,209,False,,fluidanimate,55,native
fluidanimate_100,100.0,-1,210,False,,fluidanimate,50,native
fluidanimate_100,100.0,-1,168,False,,fluidanimate,45,native
fluidanimate_100,100.0,-1,143,False,,fluidanimate,40,native
fluidanimate_100,100.0,-1,207,False,,fluidanimate,35,native
fluidanimate_100,100.0,-1,220,False,,fluidanimate,30,native
fluidanimate_100,100.0,-1,238,False,,fluidanimate,25,native
fluidanimate_100,100.0,-1,237,False,,fluidanimate,20,native
fluidanimate_100,100.0,-1,241,False,,fluidanimate,15,native
fluidanimate_100,100.0,-1,266,False,,fluidanimate,10,native
fluidanimate_100,100.0,-1,270,False,,fluidanimate,5,native
