name,percent,loc,floc,local,app,lmemp,input
raytrace_100,100.0,-1,98,False,,raytrace,100,native
raytrace_100,100.0,-1,76,False,,raytrace,95,native
raytrace_100,100.0,-1,101,False,,raytrace,90,native
raytrace_100,100.0,-1,100,False,,raytrace,85,native
raytrace_100,100.0,-1,97,False,,raytrace,80,native
raytrace_100,100.0,-1,97,False,,raytrace,75,native
raytrace_100,100.0,-1,129,False,,raytrace,70,native
raytrace_100,100.0,-1,135,False,,raytrace,65,native
raytrace_100,100.0,-1,135,False,,raytrace,60,native
raytrace_100,100.0,-1,144,False,,raytrace,55,native
raytrace_100,100.0,-1,151,False,,raytrace,50,native
raytrace_100,100.0,-1,176,False,,raytrace,45,native
raytrace_100,100.0,-1,176,False,,raytrace,40,native
raytrace_100,100.0,-1,194,False,,raytrace,35,native
raytrace_100,100.0,-1,217,False,,raytrace,30,native
raytrace_100,100.0,-1,232,False,,raytrace,25,native
raytrace_100,100.0,-1,234,False,,raytrace,20,native
raytrace_100,100.0,-1,238,False,,raytrace,15,native
raytrace_100,100.0,-1,246,False,,raytrace,10,native
raytrace_100,100.0,-1,268,False,,raytrace,5,native
