name,percent,loc,floc,local,app,lmemp,input
x264_95,95.0,-1,0,False,x264,100,native
x264_95,95.0,-1,90,False,x264,95,native
x264_95,95.0,-1,79,False,x264,90,native
x264_95,95.0,-1,86,False,x264,85,native
x264_95,95.0,-1,82,False,x264,80,native
x264_95,95.0,-1,85,False,x264,75,native
x264_95,95.0,-1,78,False,x264,70,native
x264_95,95.0,-1,82,False,x264,65,native
x264_95,95.0,-1,51,False,x264,60,native
x264_95,95.0,-1,32,False,x264,55,native
x264_95,95.0,-1,45,False,x264,50,native
x264_95,95.0,-1,75,False,x264,45,native
x264_95,95.0,-1,82,False,x264,40,native
x264_95,95.0,-1,87,False,x264,35,native
x264_95,95.0,-1,89,False,x264,30,native
x264_95,95.0,-1,90,False,x264,25,native
x264_95,95.0,-1,91,False,x264,20,native
x264_95,95.0,-1,89,False,x264,15,native
x264_95,95.0,-1,86,False,x264,10,native
x264_95,95.0,-1,86,False,x264,5,native
