name,percent,loc,floc,local,app,lmemp,input
canneal_95,95.0,-1,24,False,,canneal,100,simlarge
canneal_95,95.0,-1,24,False,,canneal,100,simlarge
canneal_95,95.0,-1,26,False,,canneal,95,simlarge
canneal_95,95.0,-1,25,False,,canneal,90,simlarge
canneal_95,95.0,-1,24,False,,canneal,85,simlarge
canneal_95,95.0,-1,22,False,,canneal,80,simlarge
canneal_95,95.0,-1,19,False,,canneal,75,simlarge
canneal_95,95.0,-1,18,False,,canneal,70,simlarge
canneal_95,95.0,-1,17,False,,canneal,65,simlarge
canneal_95,95.0,-1,17,False,,canneal,55,simlarge
canneal_95,95.0,-1,17,False,,canneal,50,simlarge
canneal_95,95.0,-1,17,False,,canneal,45,simlarge
canneal_95,95.0,-1,17,False,,canneal,40,simlarge
canneal_95,95.0,-1,18,False,,canneal,35,simlarge
canneal_95,95.0,-1,18,False,,canneal,30,simlarge
canneal_95,95.0,-1,19,False,,canneal,25,simlarge
canneal_95,95.0,-1,20,False,,canneal,20,simlarge
canneal_95,95.0,-1,21,False,,canneal,15,simlarge
canneal_95,95.0,-1,22,False,,canneal,10,simlarge
canneal_95,95.0,-1,25,False,,canneal,5,simlarge
