name,percent,loc,floc,local,app,lmemp,input
facesim_100,100.0,-1,226,False,,facesim,100,simlarge
facesim_100,100.0,-1,229,False,,facesim,95,simlarge
facesim_100,100.0,-1,232,False,,facesim,90,simlarge
facesim_100,100.0,-1,240,False,,facesim,85,simlarge
facesim_100,100.0,-1,244,False,,facesim,80,simlarge
facesim_100,100.0,-1,250,False,,facesim,75,simlarge
facesim_100,100.0,-1,280,False,,facesim,70,simlarge
facesim_100,100.0,-1,343,False,,facesim,65,simlarge
facesim_100,100.0,-1,362,False,,facesim,60,simlarge
facesim_100,100.0,-1,396,False,,facesim,55,simlarge
facesim_100,100.0,-1,421,False,,facesim,50,simlarge
facesim_100,100.0,-1,453,False,,facesim,45,simlarge
facesim_100,100.0,-1,466,False,,facesim,40,simlarge
facesim_100,100.0,-1,476,False,,facesim,35,simlarge
facesim_100,100.0,-1,507,False,,facesim,30,simlarge
facesim_100,100.0,-1,531,False,,facesim,25,simlarge
facesim_100,100.0,-1,567,False,,facesim,20,simlarge
facesim_100,100.0,-1,602,False,,facesim,15,simlarge
facesim_100,100.0,-1,673,False,,facesim,10,simlarge
facesim_100,100.0,-1,856,False,,facesim,5,simlarge
