name,percent,loc,floc,local,app,lmemp,input
raytrace_100,100.0,-1,78,False,,raytrace,100,simlarge
raytrace_100,100.0,-1,84,False,,raytrace,100,simlarge
raytrace_100,100.0,-1,82,False,,raytrace,90,simlarge
raytrace_100,100.0,-1,93,False,,raytrace,85,simlarge
raytrace_100,100.0,-1,94,False,,raytrace,80,simlarge
raytrace_100,100.0,-1,105,False,,raytrace,75,simlarge
raytrace_100,100.0,-1,127,False,,raytrace,70,simlarge
raytrace_100,100.0,-1,120,False,,raytrace,65,simlarge
raytrace_100,100.0,-1,140,False,,raytrace,60,simlarge
raytrace_100,100.0,-1,143,False,,raytrace,55,simlarge
raytrace_100,100.0,-1,157,False,,raytrace,50,simlarge
raytrace_100,100.0,-1,155,False,,raytrace,45,simlarge
raytrace_100,100.0,-1,181,False,,raytrace,40,simlarge
raytrace_100,100.0,-1,211,False,,raytrace,35,simlarge
raytrace_100,100.0,-1,230,False,,raytrace,30,simlarge
raytrace_100,100.0,-1,249,False,,raytrace,25,simlarge
raytrace_100,100.0,-1,247,False,,raytrace,20,simlarge
raytrace_100,100.0,-1,264,False,,raytrace,15,simlarge
raytrace_100,100.0,-1,269,False,,raytrace,10,simlarge
raytrace_100,100.0,-1,278,False,,raytrace,5,simlarge
