name,percent,loc,floc,local,app,lmemp,input
canneal_100,100.0,-1,273,False,,canneal,5,native
canneal_100,100.0,-1,243,False,,canneal,10,native
canneal_100,100.0,-1,234,False,,canneal,15,native
canneal_100,100.0,-1,221,False,,canneal,20,native
canneal_100,100.0,-1,210,False,,canneal,25,native
canneal_100,100.0,-1,210,False,,canneal,30,native
canneal_100,100.0,-1,229,False,,canneal,35,native
canneal_100,100.0,-1,196,False,,canneal,40,native
canneal_100,100.0,-1,198,False,,canneal,45,native
canneal_100,100.0,-1,177,False,,canneal,50,native
canneal_100,100.0,-1,182,False,,canneal,55,native
canneal_100,100.0,-1,173,False,,canneal,60,native
canneal_100,100.0,-1,161,False,,canneal,65,native
canneal_100,100.0,-1,170,False,,canneal,70,native
canneal_100,100.0,-1,151,False,,canneal,75,native
canneal_100,100.0,-1,147,False,,canneal,80,native
canneal_100,100.0,-1,125,False,,canneal,85,native
canneal_100,100.0,-1,123,False,,canneal,90,native
canneal_100,100.0,-1,120,False,,canneal,95,native
canneal_100,100.0,-1,112,False,,canneal,100,native
