name,percent,loc,floc,local,app,lmemp,input
dedup_100,100.0,-1,40,False,,dedup,100,native
dedup_100,100.0,-1,26,False,,dedup,95,native
dedup_100,100.0,-1,27,False,,dedup,90,native
dedup_100,100.0,-1,20,False,,dedup,85,native
dedup_100,100.0,-1,21,False,,dedup,80,native
dedup_100,100.0,-1,19,False,,dedup,75,native
dedup_100,100.0,-1,25,False,,dedup,70,native
dedup_100,100.0,-1,22,False,,dedup,65,native
dedup_100,100.0,-1,161,False,,dedup,60,native
dedup_100,100.0,-1,159,False,,dedup,55,native
dedup_100,100.0,-1,216,False,,dedup,50,native
dedup_100,100.0,-1,248,False,,dedup,45,native
dedup_100,100.0,-1,268,False,,dedup,35,native
dedup_100,100.0,-1,274,False,,dedup,30,native
dedup_100,100.0,-1,262,False,,dedup,25,native
dedup_100,100.0,-1,272,False,,dedup,20,native
dedup_100,100.0,-1,297,False,,dedup,15,native
dedup_100,100.0,-1,337,False,,dedup,10,native
dedup_100,100.0,-1,350,False,,dedup,5,native
