name,percent,loc,floc,local,app,lmemp,input
facesim_100,100.0,-1,699,False,,facesim,5,native
facesim_100,100.0,-1,609,False,,facesim,10,native
facesim_100,100.0,-1,527,False,,facesim,15,native
facesim_100,100.0,-1,503,False,,facesim,20,native
facesim_100,100.0,-1,479,False,,facesim,25,native
facesim_100,100.0,-1,472,False,,facesim,30,native
facesim_100,100.0,-1,444,False,,facesim,35,native
facesim_100,100.0,-1,429,False,,facesim,40,native
facesim_100,100.0,-1,417,False,,facesim,45,native
facesim_100,100.0,-1,416,False,,facesim,50,native
facesim_100,100.0,-1,362,False,,facesim,55,native
facesim_100,100.0,-1,258,False,,facesim,60,native
facesim_100,100.0,-1,231,False,,facesim,65,native
facesim_100,100.0,-1,197,False,,facesim,70,native
facesim_100,100.0,-1,161,False,,facesim,75,native
facesim_100,100.0,-1,175,False,,facesim,80,native
facesim_100,100.0,-1,171,False,,facesim,85,native
facesim_100,100.0,-1,160,False,,facesim,90,native
facesim_100,100.0,-1,157,False,,facesim,95,native
facesim_100,100.0,-1,153,False,,facesim,100,native
