name,percent,loc,floc,local,app,lmemp,input
ferret_100,100.0,-1,739,False,,ferret,5,native
ferret_100,100.0,-1,629,False,,ferret,10,native
ferret_100,100.0,-1,588,False,,ferret,15,native
ferret_100,100.0,-1,528,False,,ferret,20,native
ferret_100,100.0,-1,34,False,,ferret,25,native
ferret_100,100.0,-1,512,False,,ferret,30,native
ferret_100,100.0,-1,514,False,,ferret,35,native
ferret_100,100.0,-1,505,False,,ferret,40,native
ferret_100,100.0,-1,527,False,,ferret,45,native
ferret_100,100.0,-1,505,False,,ferret,50,native
ferret_100,100.0,-1,543,False,,ferret,55,native
ferret_100,100.0,-1,540,False,,ferret,60,native
ferret_100,100.0,-1,541,False,,ferret,65,native
ferret_100,100.0,-1,502,False,,ferret,70,native
ferret_100,100.0,-1,478,False,,ferret,75,native
ferret_100,100.0,-1,428,False,,ferret,80,native
ferret_100,100.0,-1,394,False,,ferret,85,native
ferret_100,100.0,-1,370,False,,ferret,90,native
ferret_100,100.0,-1,329,False,,ferret,95,native
ferret_100,100.0,-1,271,False,,ferret,100,native
