name,percent,loc,floc,local,app,lmemp,input
raytrace_95,95.0,-1,48,False,,raytrace,100,native
raytrace_95,95.0,-1,48,False,,raytrace,95,native
raytrace_95,95.0,-1,50,False,,raytrace,90,native
raytrace_95,95.0,-1,44,False,,raytrace,85,native
raytrace_95,95.0,-1,1,False,,raytrace,80,native
raytrace_95,95.0,-1,2,False,,raytrace,75,native
raytrace_95,95.0,-1,3,False,,raytrace,70,native
raytrace_95,95.0,-1,3,False,,raytrace,65,native
raytrace_95,95.0,-1,5,False,,raytrace,60,native
raytrace_95,95.0,-1,4,False,,raytrace,55,native
raytrace_95,95.0,-1,5,False,,raytrace,50,native
raytrace_95,95.0,-1,6,False,,raytrace,45,native
raytrace_95,95.0,-1,10,False,,raytrace,40,native
raytrace_95,95.0,-1,18,False,,raytrace,35,native
raytrace_95,95.0,-1,20,False,,raytrace,30,native
raytrace_95,95.0,-1,21,False,,raytrace,25,native
raytrace_95,95.0,-1,22,False,,raytrace,20,native
raytrace_95,95.0,-1,22,False,,raytrace,15,native
raytrace_95,95.0,-1,22,False,,raytrace,10,native
raytrace_95,95.0,-1,22,False,,raytrace,5,native
