name,percent,loc,floc,local,app,lmemp
rocksdb_100,100.0,-1,60,False,,rocksdb,100
rocksdb_100,100.0,-1,92,False,,rocksdb,95
rocksdb_100,100.0,-1,112,False,,rocksdb,90
rocksdb_100,100.0,-1,116,False,,rocksdb,85
rocksdb_100,100.0,-1,102,False,,rocksdb,80
rocksdb_100,100.0,-1,98,False,,rocksdb,75
rocksdb_100,100.0,-1,107,False,,rocksdb,70
rocksdb_100,100.0,-1,106,False,,rocksdb,65
rocksdb_100,100.0,-1,132,False,,rocksdb,60
rocksdb_100,100.0,-1,119,False,,rocksdb,55
rocksdb_100,100.0,-1,141,False,,rocksdb,50
rocksdb_100,100.0,-1,136,False,,rocksdb,45
rocksdb_100,100.0,-1,143,False,,rocksdb,40
rocksdb_100,100.0,-1,134,False,,rocksdb,35
rocksdb_100,100.0,-1,149,False,,rocksdb,30
rocksdb_100,100.0,-1,148,False,,rocksdb,25
rocksdb_100,100.0,-1,150,False,,rocksdb,20
rocksdb_100,100.0,-1,138,False,,rocksdb,15
rocksdb_100,100.0,-1,144,False,,rocksdb,10
rocksdb_100,100.0,-1,58,False,,rocksdb,5
