name,cloc
apache,202819
nginx,132721
apsp,229
bc,591
bfs,673
community,907
connected-components,756
dfs,310
pagerank,757
sssp,1266
triangle-counting,1170
tsp,329
basename,133
basenc,940
cat,526
chcon,447
chgrp,250
chmod,436
chown-core,407
chown,261
chroot,321
cksum,196
cksum_pclmul,133
comm,359
copy,2211
coreutils-arch,11
coreutils-dir,11
coreutils-vdir,11
coreutils,134
cp-hash,86
cp,907
crctab,435
csplit,1063
cut,412
date,564
dd,1913
df,1363
digest,1243
dircolors,412
dirname,98
du,816
echo,216
env,637
expand-common,285
expand,144
expr,779
factor,1927
false,2
find-mount-point,75
fmt,665
fold,225
force-link,104
getlimits,122
group-list,84
groups,103
head,779
hostid,50
hostname,80
id,343
install,799
join,899
kill,253
lbracket,2
libstdbuf,80
link,59
ln,522
logname,52
ls-dir,2
ls-ls,2
ls-vdir,2
ls,4096
make-prime-list,165
mkdir,229
mkfifo,150
mknod,225
mktemp,280
mv,374
nice,157
nl,454
nohup,152
nproc,90
numfmt,1205
od,1432
operand2sig,44
paste,357
pathchk,298
pinky,438
pr,1705
printenv,105
printf,572
prog-fprintf,16
ptx,1218
pwd,266
readlink,141
realpath,222
relpath,82
remove,402
rm,298
rmdir,209
runcon,193
selinux,218
seq,527
set-fields,184
shred,841
shuf,435
sleep,102
sort,3425
split,1279
stat,1690
stdbuf,287
stty,2074
sum,148
sync,175
tac-pipe,194
tac,481
tail,1752
tee,208
test,653
timeout,423
touch,317
tr,1322
true,50
truncate,306
tsort,368
tty,86
uname-arch,2
uname-uname,2
uname,285
unexpand,201
uniq,488
unlink,54
uptime,194
users,104
version,2
wc,808
wc_avx2,73
who,621
whoami,59
yes,88
